Date,Close
5/14/2018 16:00:00,101.29
5/15/2018 16:00:00,100.74
5/16/2018 16:00:00,100.59
5/17/2018 16:00:00,101.22
5/18/2018 16:00:00,100.99
5/21/2018 16:00:00,102.04
5/22/2018 16:00:00,102.7
5/23/2018 16:00:00,101.93
5/24/2018 16:00:00,102.01
5/25/2018 16:00:00,101.1
5/29/2018 16:00:00,97.72
5/30/2018 16:00:00,98.99
5/31/2018 16:00:00,98.3
6/1/2018 16:00:00,98.25
6/4/2018 16:00:00,99.45
6/5/2018 16:00:00,99.31
6/6/2018 16:00:00,100.97
6/7/2018 16:00:00,101.48
6/8/2018 16:00:00,101
6/11/2018 16:00:00,101.2
6/12/2018 16:00:00,100.73
6/13/2018 16:00:00,100.02
6/14/2018 16:00:00,99.76
6/15/2018 16:00:00,98.52
6/18/2018 16:00:00,98.47
6/19/2018 16:00:00,97.14
6/20/2018 16:00:00,96.42
6/21/2018 16:00:00,96.63
6/22/2018 16:00:00,97.23
6/25/2018 16:00:00,98.54
6/26/2018 16:00:00,98.21
6/27/2018 16:00:00,96.96
6/28/2018 16:00:00,96.97
6/29/2018 16:00:00,98
7/2/2018 16:00:00,99
7/3/2018 13:00:00,97.84
7/5/2018 16:00:00,98.53
7/6/2018 16:00:00,98.52
7/9/2018 16:00:00,99.91
7/10/2018 16:00:00,99.91
7/11/2018 16:00:00,100.3
7/12/2018 16:00:00,101.15
7/13/2018 16:00:00,100.5
7/16/2018 16:00:00,100.69
7/17/2018 16:00:00,101.15
7/18/2018 16:00:00,102.98
7/19/2018 16:00:00,100.17
7/20/2018 16:00:00,100.15
7/23/2018 16:00:00,101.22
7/24/2018 16:00:00,101.71
7/25/2018 16:00:00,102.63
7/26/2018 16:00:00,102.5
7/27/2018 16:00:00,103.85
7/30/2018 16:00:00,100.85
7/31/2018 16:00:00,99.52
8/1/2018 16:00:00,99.45
8/2/2018 16:00:00,99.73
8/3/2018 16:00:00,100.79
8/6/2018 16:00:00,100.92
8/7/2018 16:00:00,101.97
8/8/2018 16:00:00,102.78
8/9/2018 16:00:00,102.99
8/10/2018 16:00:00,101.58
8/13/2018 16:00:00,101.81
8/14/2018 16:00:00,102.18
8/15/2018 16:00:00,101.51
8/16/2018 16:00:00,102.65
8/17/2018 16:00:00,103.03
8/20/2018 16:00:00,103.83
8/21/2018 16:00:00,104.81
8/22/2018 16:00:00,105.83
8/23/2018 16:00:00,105.37
8/24/2018 16:00:00,105.76
8/27/2018 16:00:00,107.05
8/28/2018 16:00:00,107.28
8/29/2018 16:00:00,106.71
8/30/2018 16:00:00,106.23
8/31/2018 16:00:00,105.98
9/4/2018 16:00:00,107.01
9/5/2018 16:00:00,105.68
9/6/2018 16:00:00,105.4
9/7/2018 16:00:00,106.08
9/10/2018 16:00:00,107.29
9/11/2018 16:00:00,108.31
9/12/2018 16:00:00,107.88
9/13/2018 16:00:00,108.66
9/14/2018 16:00:00,109.56
9/17/2018 16:00:00,109.2
9/18/2018 16:00:00,109.64
9/19/2018 16:00:00,110.1
9/20/2018 16:00:00,111.11
9/21/2018 16:00:00,110.9
9/24/2018 16:00:00,109.85
9/25/2018 16:00:00,109.87
9/26/2018 16:00:00,108.01
9/27/2018 16:00:00,107.85
9/28/2018 16:00:00,106.49
10/1/2018 16:00:00,107.9
10/2/2018 16:00:00,108.39
10/3/2018 16:00:00,108.45
10/4/2018 16:00:00,107.74
10/5/2018 16:00:00,107.23
10/8/2018 16:00:00,106.99
10/9/2018 16:00:00,106.66
10/10/2018 16:00:00,103.57
10/11/2018 16:00:00,101.58
10/12/2018 16:00:00,103
10/15/2018 16:00:00,102.62
10/16/2018 16:00:00,104.27
10/17/2018 16:00:00,104.34
10/18/2018 16:00:00,102.84
10/19/2018 16:00:00,106.73
10/22/2018 16:00:00,104.51
10/23/2018 16:00:00,104.38
10/24/2018 16:00:00,101.84
10/25/2018 16:00:00,103.6
10/26/2018 16:00:00,101.25
10/29/2018 16:00:00,101.19
10/30/2018 16:00:00,102.08
10/31/2018 16:00:00,102.73
11/1/2018 16:00:00,104.04
11/2/2018 16:00:00,103.71
11/5/2018 16:00:00,105.21
11/6/2018 16:00:00,104.98
11/7/2018 16:00:00,107.31
11/8/2018 16:00:00,108.5
11/9/2018 16:00:00,108.28
11/12/2018 16:00:00,106.49
11/13/2018 16:00:00,107.86
11/14/2018 16:00:00,107.77
11/15/2018 16:00:00,109.6
11/16/2018 16:00:00,109.46
11/19/2018 16:00:00,108.25
11/20/2018 16:00:00,106.09
11/21/2018 16:00:00,106.5
11/23/2018 13:00:00,105.74
11/26/2018 16:00:00,109.68
11/27/2018 16:00:00,110.11
11/28/2018 16:00:00,112.89
11/29/2018 16:00:00,111.31
11/30/2018 16:00:00,112.27
12/3/2018 16:00:00,112.36
12/4/2018 16:00:00,107.64
12/6/2018 16:00:00,108.25
